date,RV,RQ
2016-01-04,0.00046624442849982714,7.949725130040615e-07
2016-01-05,0.0003361245821402004,1.6078933668183211e-07
2016-01-06,0.0003797845192682762,1.7749755392791418e-07
2016-01-07,0.0004264727476322246,4.351343191179923e-07
2016-01-08,0.00044119907767176873,1.9406486498902393e-07
2016-01-11,0.00020980277835306544,4.8003305591400896e-08
2016-01-12,0.00021745658238688686,3.317593948333433e-08
2016-01-13,0.00041366164514414347,2.591051815224597e-07
2016-01-14,0.00040421492317283545,3.071611881114035e-07
2016-01-15,0.00028954068334260887,1.0659975196793126e-07
2016-01-19,0.0003091382500582894,8.871015118842605e-08
2016-01-20,0.0005387400856305475,3.838701453651519e-07
2016-01-21,0.0005070305076392358,3.6170259553609626e-07
2016-01-22,0.000255035188323297,5.98002185133971e-08
2016-01-25,0.00021361589330713712,6.136802101099128e-08
2016-01-26,0.00036807904562304917,1.691564264884927e-07
2016-01-27,0.0003809944337006575,1.650711618055672e-07
2016-01-28,0.000379027060222453,1.8198176851478666e-07
2016-01-29,0.00012148802764143947,1.6976175032851788e-08
2016-02-01,0.00012942045757189464,1.9409115367175355e-08
2016-02-02,0.0001817251474391115,4.747640364572312e-08
2016-02-03,0.00031892395171456955,1.3360526529771055e-07
2016-02-04,0.00033584818983994924,1.4257954152360639e-07
2016-02-05,0.00024957663905540305,7.021565801724652e-08
2016-02-08,0.0003705866406865462,1.7053169972610317e-07
2016-02-09,0.000355950086307981,1.4460239124885016e-07
2016-02-10,0.00020071458130008506,4.845695719863616e-08
2016-02-11,0.0002777010261867942,8.250006604026718e-08
2016-02-12,0.00012654866191788366,2.6888048417727014e-08
2016-02-16,0.0001398731954873605,2.3595760157738695e-08
2016-02-17,0.00014387298837638887,3.531835865733107e-08
2016-02-18,9.342001432342619e-05,7.243262756579619e-09
2016-02-19,0.00014295560175866298,3.6019351329377837e-08
2016-02-22,9.276990368356352e-05,9.491045381334732e-09
2016-02-23,6.277554071079292e-05,5.209299985992152e-09
2016-02-24,0.0001953266065062205,3.13833892907285e-08
2016-02-25,0.00014301617682272678,2.501737649424709e-08
2016-02-26,9.483261023641941e-05,1.1018713434389808e-08
2016-02-29,0.00011078449237687796,1.5632429280097065e-08
2016-03-01,0.00014173085908703042,3.028938445975725e-08
2016-03-02,0.000114798459639675,3.4211924767161636e-08
2016-03-03,0.00012013020656001405,2.9459044017950435e-08
2016-03-04,0.00019098404405229108,5.191968382909997e-08
2016-03-07,0.00013091998515763978,2.745560755340707e-08
2016-03-08,0.00014325150419135612,2.298925452136624e-08
2016-03-09,0.0001092219917231129,1.4772046467902135e-08
2016-03-10,0.0002275084741757405,6.584236880550132e-08
2016-03-11,6.848196749984585e-05,7.2391898172888305e-09
2016-03-14,7.732804324714556e-05,5.288296485885156e-09
2016-03-15,8.969162529517429e-05,1.0215356332436975e-08
2016-03-16,0.00010101762172358539,1.2887928293635619e-08
2016-03-17,7.81908783181696e-05,7.135634244650356e-09
2016-03-18,7.310580035119103e-05,7.0210902170030245e-09
2016-03-21,0.00015399755897328957,4.581996084629337e-08
2016-03-22,8.06610338831868e-05,1.2503730374123277e-08
2016-03-23,5.5928342847616166e-05,5.665885144070863e-09
2016-03-24,5.31543820937761e-05,2.878397187914536e-09
2016-03-28,6.451101133229141e-05,6.054164041443718e-09
2016-03-29,8.161347883565054e-05,8.439097754511002e-09
2016-03-30,0.00015506073117815635,6.680868244469816e-08
2016-03-31,8.24295327694545e-05,1.2521631605905874e-08
2016-04-01,0.00011852451298468678,2.324614890079671e-08
2016-04-04,0.00012565273284152796,3.630026493299558e-08
2016-04-05,0.00010113138745840171,1.2645438427957005e-08
2016-04-06,6.16288160050697e-05,4.333455452081047e-09
