feature,edge_idx,z_std,ale_centred
RVD,0,-0.5262613784399196,-3.628104991205827e-05
RVD,1,-0.4979943486809804,-3.465128042646892e-05
RVD,2,-0.4846446087565662,-3.387823948853974e-05
RVD,3,-0.47767783808904885,-3.348141845206509e-05
RVD,4,-0.47269474452427584,-3.3193108176855723e-05
RVD,5,-0.46459185711752016,-3.272696619317639e-05
RVD,6,-0.46175308932069675,-3.2567835543185986e-05
RVD,7,-0.45754454790622384,-3.232544332488896e-05
RVD,8,-0.45291220519698144,-3.2051869592332416e-05
RVD,9,-0.450144041377551,-3.189520998260331e-05
RVD,10,-0.4434200958916639,-3.150735096481139e-05
RVD,11,-0.43824373130674577,-3.121054330902506e-05
RVD,12,-0.43391942988389787,-3.095993067970948e-05
RVD,13,-0.42955734993184574,-3.070743022361011e-05
RVD,14,-0.42623458927373314,-3.0518004759851e-05
RVD,15,-0.4234634900788888,-3.035834550869776e-05
RVD,16,-0.4193433668434387,-3.0127517117629843e-05
RVD,17,-0.41480565628542776,-2.9871070989297088e-05
RVD,18,-0.4112695683033622,-2.9665787121170517e-05
RVD,19,-0.40635513890021924,-2.9382625040720534e-05
RVD,20,-0.401515442726801,-2.9110111807407968e-05
RVD,21,-0.3967888527487745,-2.883768949514387e-05
RVD,22,-0.3923990870298348,-2.85808219865471e-05
RVD,23,-0.38733318727039523,-2.8294380722949874e-05
RVD,24,-0.3849904901181313,-2.816026347941669e-05
RVD,25,-0.3795518987656727,-2.7848540536846933e-05
RVD,26,-0.3749157309796314,-2.7606379216517318e-05
RVD,27,-0.36996404634245916,-2.7328474924938284e-05
RVD,28,-0.36704483845435676,-2.7168760862518404e-05
RVD,29,-0.3646696280831248,-2.7033577208025683e-05
RVD,30,-0.3620394260693011,-2.688162319598586e-05
RVD,31,-0.3585839862629867,-2.6653884813167217e-05
RVD,32,-0.3541585934501864,-2.6400889108781023e-05
RVD,33,-0.34963056927531394,-2.615788895011928e-05
RVD,34,-0.3449793797336868,-2.5895632514884248e-05
RVD,35,-0.3402250707201415,-2.5583960077692147e-05
RVD,36,-0.3347797758688904,-2.528454441742678e-05
RVD,37,-0.3310770065764962,-2.5081863892618905e-05
RVD,38,-0.32711753940957844,-2.4853400187775598e-05
RVD,39,-0.3225992290698459,-2.4609174911328857e-05
RVD,40,-0.3148061153889658,-2.4126092707756008e-05
RVD,41,-0.3100688831847783,-2.3881781086156018e-05
RVD,42,-0.30332779627055784,-2.3462544501152927e-05
RVD,43,-0.29574432537690054,-2.3030920143564337e-05
RVD,44,-0.2906251959003468,-2.2621937656576385e-05
RVD,45,-0.2868612304736726,-2.2421357453462853e-05
RVD,46,-0.28230795258841845,-2.214760909792357e-05
RVD,47,-0.27656902937367855,-2.183453095140475e-05
RVD,48,-0.26980854767765783,-2.144031229191068e-05
RVD,49,-0.2618446229960612,-2.0952986101842264e-05
RVD,50,-0.2524534560972594,-2.047565145003727e-05
