feature,edge_idx,z_std,ale_centred
RVD,0,-0.5262613784399196,-6.295772721940083e-05
RVD,1,-0.4979943486809804,-6.293512478863825e-05
RVD,2,-0.4846446087565662,-5.9407617322531224e-05
RVD,3,-0.47767783808904885,-5.88114039282029e-05
RVD,4,-0.47269474452427584,-5.9044799020737906e-05
RVD,5,-0.46459185711752016,-5.635390895696962e-05
RVD,6,-0.46175308932069675,-5.707085485247851e-05
RVD,7,-0.45754454790622384,-5.686778716526568e-05
RVD,8,-0.45291220519698144,-5.6835333941782213e-05
RVD,9,-0.450144041377551,-5.700403334427102e-05
RVD,10,-0.4434200958916639,-5.721926556812922e-05
RVD,11,-0.43824373130674577,-5.6794838277929885e-05
RVD,12,-0.43391942988389787,-5.655260984025114e-05
RVD,13,-0.42955734993184574,-5.683573975872538e-05
RVD,14,-0.42623458927373314,-5.725402340517735e-05
RVD,15,-0.4234634900788888,-5.740043846583287e-05
RVD,16,-0.4193433668434387,-5.745217272228623e-05
RVD,17,-0.41480565628542776,-5.8080071207067775e-05
RVD,18,-0.4112695683033622,-5.88386039580318e-05
RVD,19,-0.40635513890021924,-5.890714824199813e-05
RVD,20,-0.401515442726801,-5.918838212246611e-05
RVD,21,-0.3967888527487745,-5.9148282472066364e-05
RVD,22,-0.3923990870298348,-5.841352489787698e-05
RVD,23,-0.38733318727039523,-5.83426277422001e-05
RVD,24,-0.3849904901181313,-5.677568777605872e-05
RVD,25,-0.3795518987656727,-5.582779506991741e-05
RVD,26,-0.3749157309796314,-5.420332209145829e-05
RVD,27,-0.36996404634245916,-5.409044068453563e-05
RVD,28,-0.36704483845435676,-5.253644259312102e-05
RVD,29,-0.3646696280831248,-5.0612898653854364e-05
RVD,30,-0.3620394260693011,-5.105799017790284e-05
RVD,31,-0.3585839862629867,-5.175454051931774e-05
RVD,32,-0.3541585934501864,-5.210646595961295e-05
RVD,33,-0.34963056927531394,-5.212915267747776e-05
RVD,34,-0.3449793797336868,-5.1854145733378925e-05
RVD,35,-0.3402250707201415,-5.1955100070684e-05
RVD,36,-0.3347797758688904,-5.2230085774886054e-05
RVD,37,-0.3310770065764962,-5.191744488913055e-05
RVD,38,-0.32711753940957844,-4.930523314890892e-05
RVD,39,-0.3225992290698459,-4.949759901565083e-05
RVD,40,-0.3148061153889658,-4.888656397778182e-05
RVD,41,-0.3100688831847783,-4.639603194442789e-05
RVD,42,-0.30332779627055784,-4.427628739785443e-05
RVD,43,-0.29574432537690054,-4.370998794467722e-05
RVD,44,-0.2906251959003468,-4.2562835679030583e-05
RVD,45,-0.2868612304736726,-4.196941112537178e-05
RVD,46,-0.28230795258841845,-3.62973022635249e-05
RVD,47,-0.27656902937367855,-3.61664509243471e-05
RVD,48,-0.26980854767765783,-3.549768706404199e-05
RVD,49,-0.2618446229960612,-3.311531605004657e-05
RVD,50,-0.2524534560972594,-2.9259605089781244e-05
RVD,51,-0.24392848455389432,-2.794991498496415e-05
RVD,52,-0.2357320390331882,-2.7556245261368193e-05
RVD,53,-0.2254814692938352,-2.413792485908568e-05
RVD,54,-0.21743374844021512,-1.761386991730568e-05
RVD,55,-0.20828601368567679,-2.0843255547640154e-05
RVD,56,-0.20181471899778392,-2.51448164831051e-05
RVD,57,-0.19233550243124767,-2.5008766035820234e-05
RVD,58,-0.17770284792642163,-2.5455300196154514e-05
RVD,59,-0.16837881756433054,-2.48466399605307e-05
RVD,60,-0.16082300421067228,-2.4037629928868718e-05
RVD,61,-0.1531521987206141,-2.4089690008723423e-05
RVD,62,-0.146405302972351,-2.3465095905961795e-05
RVD,63,-0.13494387904288815,-2.1661827454820755e-05
RVD,64,-0.1250529535591384,-2.0694030007862428e-05
RVD,65,-0.11157359631792928,-1.9691846643757392e-05
RVD,66,-0.10095997890009847,-1.6911339913389503e-05
RVD,67,-0.08918796285302624,-1.5065015093006508e-05
RVD,68,-0.07819688782537856,-1.2709594323045554e-05
RVD,69,-0.06462956290897963,-8.552833237676389e-06
RVD,70,-0.05420930769086372,-4.354175743508619e-06
RVD,71,-0.040040728648677124,-3.553359577970289e-06
RVD,72,-0.022071244798625805,-2.03343668671546e-06
RVD,73,-0.009919808396915183,6.823012184508758e-07
RVD,74,0.003005216598781925,2.985121699112267e-06
RVD,75,0.01559072479798322,1.2728955063216803e-05
RVD,76,0.03147737998279378,1.8050836028423795e-05
RVD,77,0.048005757411303605,1.9192785706096188e-05
RVD,78,0.06464551562688096,2.6511021643177814e-05
RVD,79,0.08243788189726955,2.399044889062479e-05
RVD,80,0.10436572029542103,2.6031793372348268e-05
RVD,81,0.13703786542568822,3.265873877338631e-05
RVD,82,0.16401356131371098,3.504828460360531e-05
RVD,83,0.19267469959925676,4.8253851907939795e-05
RVD,84,0.22228842251293127,6.531861824203524e-05
RVD,85,0.257511022161514,7.027723475694964e-05
RVD,86,0.28715960835108556,8.87022307944376e-05
RVD,87,0.32280108521458684,8.622295172987787e-05
RVD,88,0.3782558284355363,8.72475818013637e-05
RVD,89,0.42899605933324847,9.578644182857531e-05
RVD,90,0.4839539403946611,0.00010455413443279504
RVD,91,0.5361504736721847,0.00010423804605070524
RVD,92,0.6386526522117405,0.00010402761862638082
RVD,93,0.7910195603950511,0.00012683962811533753
RVD,94,0.9000220601210505,0.00014723332360410302
RVD,95,1.1401817003682702,0.00014751145917790248
RVD,96,1.3977965847652865,0.00014198608489733946
RVD,97,1.72327904380907,0.00015593652929461478
RVD,98,2.320060149529962,0.00020532632763498526
RVD,99,3.8772969030072866,0.0004924007933086564
RVD,100,13.313485908992337,0.0005329891278342501
RVW,0,-0.6076584754967539,-5.8100404768276374e-05
RVW,1,-0.5751381351635231,-5.8098637072845376e-05
RVW,2,-0.5648358044209314,-5.714240442586974e-05
RVW,3,-0.5545283286366645,-5.6632333895273995e-05
RVW,4,-0.5497073027413303,-5.5710195452027284e-05
RVW,5,-0.5411147122741115,-5.575544899829106e-05
RVW,6,-0.5334924785877574,-5.534846334076805e-05
RVW,7,-0.5252344647804252,-5.549035749887096e-05
RVW,8,-0.5153171681500602,-4.7487866357582545e-05
RVW,9,-0.5087358005429654,-4.8547581260490865e-05
RVW,10,-0.5046199143350719,-4.3071690601911196e-05
RVW,11,-0.49968582568471254,-4.4419290767335335e-05
RVW,12,-0.49130626188675947,-4.400680335056066e-05
RVW,13,-0.4871665691113932,-4.372867452546886e-05
RVW,14,-0.4815433272253321,-4.391058443499273e-05
RVW,15,-0.4760997343028613,-4.264489086539559e-05
RVW,16,-0.47157114911422754,-4.2104873569250224e-05
RVW,17,-0.46653584339385895,-4.218421383854579e-05
RVW,18,-0.4644163269410887,-4.1718128463200746e-05
RVW,19,-0.45906476333032437,-4.1794712945479034e-05
RVW,20,-0.4546909431687837,-4.198228704424085e-05
RVW,21,-0.45089754151209144,-4.190114984912675e-05
