feature,edge_idx,z_std,ale_centred
RVD,0,-0.3763725919543621,-3.682674333118606e-05
RVD,1,-0.3605126087928228,-3.6057850143844317e-05
RVD,2,-0.35162727421740503,-3.563814289533306e-05
RVD,3,-0.3432719242955998,-3.522540450786559e-05
RVD,4,-0.33745676234720196,-3.4932537664200336e-05
RVD,5,-0.3334514572797836,-3.4736160534531646e-05
RVD,6,-0.32879444233053196,-3.450948171304057e-05
RVD,7,-0.3263231815707179,-3.438700503535196e-05
RVD,8,-0.32307068271698847,-3.423419219030742e-05
RVD,9,-0.3207890016303265,-3.412930974446803e-05
RVD,10,-0.3181829915571146,-3.400659207910516e-05
RVD,11,-0.3150391896986551,-3.385970940952242e-05
RVD,12,-0.3114664405771329,-3.3698191335939864e-05
RVD,13,-0.3073966796430357,-3.351024898803311e-05
RVD,14,-0.3050058913931111,-3.3401010943645215e-05
RVD,15,-0.30326762964555043,-3.3320943392833524e-05
RVD,16,-0.3004003156105269,-3.318422360178951e-05
RVD,17,-0.29786722136279215,-3.306798517668207e-05
RVD,18,-0.29576987661071247,-3.2971843585993465e-05
RVD,19,-0.29313250107431965,-3.286047959774018e-05
RVD,20,-0.2908661123191709,-3.2759659566305654e-05
RVD,21,-0.28620424129993305,-3.2557567115087604e-05
RVD,22,-0.28306261547690703,-3.242101339209179e-05
RVD,23,-0.28066306088873494,-3.231366436819948e-05
RVD,24,-0.2780483746426899,-3.220197308264582e-05
RVD,25,-0.2764112349983614,-3.212942178079069e-05
RVD,26,-0.2739915449892407,-3.202598046483339e-05
RVD,27,-0.2709080269595856,-3.186922132227786e-05
RVD,28,-0.26787453329108124,-3.1745905962576526e-05
RVD,29,-0.2644360272287078,-3.1559879735265295e-05
RVD,30,-0.26168108797764406,-3.1438219897505715e-05
RVD,31,-0.2567995673006288,-3.1247793534827306e-05
RVD,32,-0.25350278128955495,-3.1101589959358844e-05
RVD,33,-0.25015075168800405,-3.0971696380798985e-05
RVD,34,-0.24737053965988412,-3.0865794817724546e-05
RVD,35,-0.2441747730317953,-3.073477082251551e-05
RVD,36,-0.24190483414649705,-3.0638150198125313e-05
RVD,37,-0.23886397144258706,-3.0523891956146454e-05
RVD,38,-0.23528884069234632,-3.038855323280708e-05
RVD,39,-0.23103001037207874,-3.0224005504475226e-05
RVD,40,-0.2261841833782344,-3.0061931729629887e-05
RVD,41,-0.22212691627776954,-2.9896923200123038e-05
RVD,42,-0.21974421481994208,-2.9807338881493106e-05
RVD,43,-0.21731589784613278,-2.9713870956537758e-05
RVD,44,-0.21402590169892016,-2.960745280047271e-05
RVD,45,-0.20944451114911677,-2.9432383554261687e-05
RVD,46,-0.20526017244157224,-2.9273504379556325e-05
RVD,47,-0.20235560401092864,-2.9158918236315767e-05
RVD,48,-0.1986140833145452,-2.9010345455570896e-05
RVD,49,-0.19427054665972632,-2.8874278255397112e-05
RVD,50,-0.19006780605926,-2.8722397642421893e-05
RVD,51,-0.18693225379921546,-2.860287503194635e-05
RVD,52,-0.18312993989091053,-2.846447467943457e-05
RVD,53,-0.175457002007054,-2.8192915022895104e-05
RVD,54,-0.17240756817824116,-2.8067321322122407e-05
RVD,55,-0.16800363068143656,-2.790028352519479e-05
RVD,56,-0.16299127794725154,-2.7643491703610234e-05
RVD,57,-0.1581555553430841,-2.749989385888406e-05
RVD,58,-0.15352923560705078,-2.735395221788971e-05
RVD,59,-0.14658948465285923,-2.7106524639019736e-05
RVD,60,-0.14319111069819113,-2.697906296402729e-05
RVD,61,-0.13797389603204366,-2.681602012257721e-05
RVD,62,-0.13275012536697478,-2.6609750603778448e-05
RVD,63,-0.12570856309184267,-2.6336381507529805e-05
RVD,64,-0.12129337170428038,-2.6181237712829752e-05
RVD,65,-0.11660811366483172,-2.603306874773247e-05
RVD,66,-0.11207773530200062,-2.5744570718710602e-05
RVD,67,-0.1011158862531209,-2.523158432934346e-05
RVD,68,-0.09438835291088153,-2.489822359832382e-05
RVD,69,-0.0891935433324199,-2.4672408427317205e-05
RVD,70,-0.07929486544920462,-2.410499241802776e-05
RVD,71,-0.07162471338568714,-2.3803383596554195e-05
RVD,72,-0.06270046236582334,-2.3396571163924673e-05
RVD,73,-0.05497234389209407,-2.30703531211237e-05
RVD,74,-0.0449875643892761,-2.2689346691162282e-05
RVD,75,-0.03650614333466376,-2.2301904847221376e-05
RVD,76,-0.023079437873360243,-2.1601867684761455e-05
RVD,77,-0.010535477304802735,-2.104454001807775e-05
RVD,78,0.0008225614062791168,-2.0440902927542848e-05
RVD,79,0.010594968775291895,-1.9946814985427264e-05
RVD,80,0.029768843125545744,-1.8887167255865134e-05
RVD,81,0.043395707994838356,-1.762329362788827e-05
RVD,82,0.06467520536239728,-1.638018444607391e-05
RVD,83,0.08563610947433066,-1.4546854584817848e-05
RVD,84,0.11556702893377375,-1.2919099175245574e-05
RVD,85,0.13055352063834963,-1.1811417392504009e-05
RVD,86,0.15100438134334457,-1.0145480144796093e-05
RVD,87,0.1782273394949781,-8.455938212658876e-06
RVD,88,0.21641515783196172,-5.802694330281011e-06
RVD,89,0.25733564486435656,-2.871789446156836e-06
RVD,90,0.2898469857452247,-4.735296767998103e-08
RVD,91,0.341479288769967,4.13114217865419e-06
RVD,92,0.3897452126634527,9.15238739382963e-06
RVD,93,0.45926982931223354,1.5205762212123009e-05
RVD,94,0.537338908775529,2.261706036863521e-05
RVD,95,0.6624673918628438,3.7442241465602055e-05
RVD,96,0.8010809530771873,4.99900032640891e-05
RVD,97,1.0146940464917382,7.465525401260144e-05
RVD,98,1.6120872456753976,0.00013304025184099935
RVD,99,3.0396643799141083,0.0002752594663083311
RVD,100,16.601382308277056,0.0017742641283452268
RVW,0,-0.38799906851526794,-2.8929510437738054e-05
RVW,1,-0.3640809666797733,-2.7846464592730763e-05
RVW,2,-0.35778831706614245,-2.756220520692309e-05
RVW,3,-0.3524089509721138,-2.7332099650980263e-05
RVW,4,-0.3495996764204206,-2.721548560456099e-05
RVW,5,-0.34350455074251135,-2.695611516654494e-05
RVW,6,-0.3400952189954306,-2.6809263604523176e-05
RVW,7,-0.3361899896147322,-2.6644292904311578e-05
RVW,8,-0.3324771556843503,-2.6488418700100874e-05
RVW,9,-0.3294967255157356,-2.6357677984069733e-05
RVW,10,-0.3261370004600518,-2.62293109923668e-05
RVW,11,-0.32355133545483655,-2.6118409872967868e-05
RVW,12,-0.32048081244380777,-2.6000511620029692e-05
RVW,13,-0.3175071723910531,-2.5884038573710904e-05
RVW,14,-0.31467854467571493,-2.5771310343404957e-05
RVW,15,-0.31131425983190986,-2.563006460829697e-05
RVW,16,-0.3085755911020376,-2.55272003027791e-05
RVW,17,-0.30396772261209604,-2.533802904278914e-05
RVW,18,-0.3011522708801753,-2.5217234560816587e-05
RVW,19,-0.29744116719032865,-2.5061114338289053e-05
RVW,20,-0.29520422012323666,-2.497068000448976e-05
RVW,21,-0.2905290827979576,-2.4796383530347293e-05
RVW,22,-0.2877814649766548,-2.468124247454639e-05
RVW,23,-0.2840172348405237,-2.4527189988223336e-05
RVW,24,-0.2820253973109846,-2.4446366711263317e-05
RVW,25,-0.279054987849531,-2.4323473513423005e-05
RVW,26,-0.27654660386388735,-2.4226138175411188e-05
RVW,27,-0.2740663622551079,-2.414097309153717e-05
RVW,28,-0.27094394644211145,-2.4022971610950344e-05
RVW,29,-0.26836210648992065,-2.3913084187345385e-05
RVW,30,-0.26627001544145507,-2.3832196883379447e-05
RVW,31,-0.2625400668162537,-2.36818915152277e-05
RVW,32,-0.2593907819551039,-2.3566783442820588e-05
RVW,33,-0.2565919296225667,-2.3466570769105738e-05
RVW,34,-0.2523543237903351,-2.3298105065496338e-05
RVW,35,-0.24917198112674527,-2.317673821292842e-05
RVW,36,-0.24450320002686143,-2.3009188370483707e-05
RVW,37,-0.24216098855040583,-2.2922518136827102e-05
RVW,38,-0.2386449177092142,-2.2797997852965318e-05
RVW,39,-0.23578958135292824,-2.2685858371264794e-05
RVW,40,-0.2340891014739508,-2.261640844634271e-05
RVW,41,-0.22971743602755168,-2.2456966024410713e-05
RVW,42,-0.22764238615314822,-2.2383353796985966e-05
RVW,43,-0.2237225456988559,-2.223266531840195e-05
RVW,44,-0.2217717678964538,-2.2171883332735115e-05
RVW,45,-0.21914361066688376,-2.2065046084353662e-05
RVW,46,-0.21507596136989346,-2.1927942031798148e-05
RVW,47,-0.2120447311800211,-2.1825505764329728e-05
RVW,48,-0.20838812767136825,-2.169176957065488e-05
RVW,49,-0.205369885447348,-2.1577477855007737e-05
RVW,50,-0.20228084367142649,-2.1469973762268773e-05
RVW,51,-0.19662819572077053,-2.1282932084123013e-05
RVW,52,-0.18948631987357217,-2.1043430353675058e-05
RVW,53,-0.18210278992926385,-2.0819344501578735e-05
RVW,54,-0.17749304491539272,-2.0658687477894227e-05
RVW,55,-0.17413623688333504,-2.0529467834908382e-05
RVW,56,-0.17008153156506836,-2.0383626110433534e-05
RVW,57,-0.16557356548822338,-2.0213418269722888e-05
RVW,58,-0.1604223990277798,-2.002312966707009e-05
RVW,59,-0.15416399379559526,-1.9825476459491392e-05
RVW,60,-0.1478057953690324,-1.9611628306083867e-05
RVW,61,-0.14205740503174513,-1.941406786696475e-05
RVW,62,-0.13202654949393763,-1.9028031760772274e-05
RVW,63,-0.12711727710874382,-1.8862900264739574e-05
RVW,64,-0.1172478161624447,-1.84621026900551e-05
RVW,65,-0.10779122127922637,-1.8104142855836608e-05
RVW,66,-0.10094677352108497,-1.7848435635105625e-05
RVW,67,-0.09429272525962833,-1.7615810992001707e-05
RVW,68,-0.08750306578377388,-1.737993945281246e-05
RVW,69,-0.07993738776464107,-1.7109450868392878e-05
RVW,70,-0.07286298600989802,-1.678156984295142e-05
RVW,71,-0.06400497654912848,-1.63363743749052e-05
RVW,72,-0.056182912568740535,-1.5708384654235624e-05
RVW,73,-0.04936350002253289,-1.5480242640510505e-05
RVW,74,-0.03308994118362528,-1.459493731457328e-05
RVW,75,-0.02235321937157156,-1.4179999143639316e-05
RVW,76,-0.00843495975569877,-1.3579265160192472e-05
RVW,77,0.001524259212736781,-1.3245411227249087e-05
RVW,78,0.011907803572877951,-1.28585722077652e-05
RVW,79,0.02918950864842264,-1.209591650561847e-05
RVW,80,0.04284946760950994,-1.1532518189174107e-05
RVW,81,0.05025926762030806,-1.1228249294649822e-05
RVW,82,0.07567612528880413,-1.011616737654108e-05
RVW,83,0.0934675309224019,-8.947915406711354e-06
RVW,84,0.1127703827146452,-8.139053565205495e-06
