feature,edge_idx,z_std,ale_centred
RVD,0,-0.6480407449120664,-5.484572704046936e-05
RVD,1,-0.6078927685489703,-5.247217369726481e-05
RVD,2,-0.5990806802965313,-5.1955075937098304e-05
RVD,3,-0.590711535153492,-5.1462870478485134e-05
RVD,4,-0.5844904354602181,-5.109507491381432e-05
RVD,5,-0.5764456422719088,-5.061360393694908e-05
RVD,6,-0.57217010578548,-5.036193674852679e-05
RVD,7,-0.5650461321165925,-4.9940441007106206e-05
RVD,8,-0.5605821669054336,-4.9657587700107474e-05
RVD,9,-0.553153107766938,-4.922570723449521e-05
RVD,10,-0.5494892117211916,-4.900547036397679e-05
RVD,11,-0.5454723996528694,-4.876926950244037e-05
RVD,12,-0.5383102078656732,-4.8277780839339034e-05
RVD,13,-0.5344591802875629,-4.805005840109938e-05
RVD,14,-0.5301529646642082,-4.779547719165261e-05
RVD,15,-0.5233113901351135,-4.739282180350951e-05
RVD,16,-0.5197157275723673,-4.718131562738076e-05
RVD,17,-0.514866913915613,-4.688642242951996e-05
RVD,18,-0.5101925649473201,-4.655033477758902e-05
RVD,19,-0.5026784931176256,-4.610973188830453e-05
RVD,20,-0.49808205874140676,-4.584095753086753e-05
RVD,21,-0.4934587467882814,-4.555437847882299e-05
RVD,22,-0.48953427907309954,-4.532525809038329e-05
RVD,23,-0.4848177415113407,-4.4990904191149316e-05
RVD,24,-0.4807541369035565,-4.474498409974753e-05
RVD,25,-0.47461147477527227,-4.436465660758099e-05
RVD,26,-0.46992436398429005,-4.402825608947264e-05
RVD,27,-0.46394458504350156,-4.363119344004612e-05
RVD,28,-0.4587141861038923,-4.33078450235595e-05
RVD,29,-0.4542558717594729,-4.304294332298436e-05
RVD,30,-0.44963582382946554,-4.276425862810779e-05
RVD,31,-0.44316647434235606,-4.238164239252423e-05
RVD,32,-0.43781032515982754,-4.187977883914268e-05
RVD,33,-0.4312373212916573,-4.1409898860660765e-05
RVD,34,-0.4266297353825803,-4.113291315873052e-05
RVD,35,-0.4211700696831446,-4.077249277186151e-05
RVD,36,-0.4178526873953714,-4.054611544786407e-05
RVD,37,-0.4116564031707422,-4.010425720009575e-05
RVD,38,-0.40626866078429924,-3.971387569874846e-05
RVD,39,-0.39988796357405515,-3.931799084496074e-05
RVD,40,-0.3905344258885626,-3.865625432338188e-05
RVD,41,-0.38179446405847955,-3.81462087282895e-05
RVD,42,-0.37719651213950534,-3.7824013408976175e-05
RVD,43,-0.36931880852607735,-3.7308418702491185e-05
RVD,44,-0.36273606958095184,-3.692040916332612e-05
RVD,45,-0.3558159058820254,-3.644875393645147e-05
RVD,46,-0.3457210613426799,-3.576347969199073e-05
RVD,47,-0.33557639303266557,-3.5053811890133734e-05
RVD,48,-0.32850996761891815,-3.460217773961144e-05
RVD,49,-0.322528771369153,-3.413464118791548e-05
RVD,50,-0.3160179952127783,-3.367013132090019e-05
RVD,51,-0.3085179687453807,-3.315838912028507e-05
RVD,52,-0.2976814489503547,-3.250485629775962e-05
RVD,53,-0.2886778370441515,-3.190752382449741e-05
RVD,54,-0.2803161697757001,-3.135490608981367e-05
RVD,55,-0.26760476094419766,-3.0546296178340204e-05
RVD,56,-0.24799112811325508,-2.887116018753172e-05
RVD,57,-0.23490139567950238,-2.8102350673702536e-05
RVD,58,-0.2246103258506696,-2.7442238907564975e-05
RVD,59,-0.21387715687400313,-2.6591028264260463e-05
RVD,60,-0.19900988554608984,-2.5666475229240537e-05
RVD,61,-0.18245551487930062,-2.433727782642986e-05
RVD,62,-0.17209243659975657,-2.3457651442253923e-05
RVD,63,-0.1597182271246435,-2.2418929366790185e-05
RVD,64,-0.14665687604273117,-2.153220551333529e-05
RVD,65,-0.1287688443476987,-2.0172158959735175e-05
RVD,66,-0.11859293329380113,-1.93462727984976e-05
RVD,67,-0.10262967642090479,-1.821732157266037e-05
RVD,68,-0.09355740796488411,-1.7511720121615004e-05
RVD,69,-0.0753940722914777,-1.6244188164887096e-05
RVD,70,-0.05885532633650332,-1.4954504668889645e-05
RVD,71,-0.04407846639032001,-1.3324915263251246e-05
RVD,72,-0.027702922133792534,-1.2029939417584178e-05
RVD,73,-0.010893667188219611,-9.711391404448155e-06
RVD,74,0.009633093321437988,-8.033692912317424e-06
RVD,75,0.046210364760379714,-5.2126761339192355e-06
RVD,76,0.07160511381171233,-3.207211212679472e-06
RVD,77,0.1047562109025207,4.174885170190053e-07
RVD,78,0.12692306085639074,2.5746353266416507e-06
RVD,79,0.14848216226968816,4.524996465011422e-06
RVD,80,0.18710117294246933,8.716935762027201e-06
RVD,81,0.21513670726165382,1.1084301585401913e-05
RVD,82,0.25721088264693565,1.5404401418823322e-05
RVD,83,0.289614423153757,1.9215013461621634e-05
RVD,84,0.3353240140174381,2.3426909800878416e-05
RVD,85,0.3727767369622838,2.7090192569562855e-05
RVD,86,0.43591878119832295,3.412413227936245e-05
RVD,87,0.4718444838319778,3.8072090527680625e-05
RVD,88,0.5504548812669874,4.694580114021424e-05
RVD,89,0.6299181259041355,5.4304970243652274e-05
RVD,90,0.7275554014420831,6.419632266345193e-05
RVD,91,0.8620002875313948,7.635985205427037e-05
RVD,92,0.9380187285876748,8.250525955093085e-05
RVD,93,1.1128205866841672,9.876969509507521e-05
RVD,94,1.3009489993952834,0.00011513272895983878
RVD,95,1.4966382719941242,0.00013208838229631997
RVD,96,1.8763442574992035,0.00016188641732599112
RVD,97,2.280005766585307,0.00019234403974126085
RVD,98,3.8395173140805134,0.00031225634686863973
RVD,99,4.875359313774591,0.0003934347080111596
RVD,100,9.764365416735822,0.0007919450183443817
RVW,0,-0.7539050750569601,-3.628714656117203e-05
RVW,1,-0.7040962044607519,-3.455986150840594e-05
RVW,2,-0.6915075629163084,-3.413698739934311e-05
RVW,3,-0.6827394167008068,-3.384266132827228e-05
RVW,4,-0.6708074941956997,-3.344126630083387e-05
RVW,5,-0.6605164358924716,-3.309582031790391e-05
RVW,6,-0.6534760964926003,-3.285571644511996e-05
RVW,7,-0.647522583782848,-3.266167926057782e-05
RVW,8,-0.6412621242664763,-3.2454766487440376e-05
RVW,9,-0.6365552522892437,-3.2275750773188103e-05
RVW,10,-0.6292462759462195,-3.203976327342438e-05
RVW,11,-0.6236135365737128,-3.184419620510702e-05
RVW,12,-0.6168002553917009,-3.1612465595294945e-05
RVW,13,-0.609783821200188,-3.1330187543695085e-05
