feature,edge_idx,z_std,ale_centred
RVD,0,-0.6480407449120664,-7.660293953921689e-05
RVD,1,-0.6078927685489703,-7.632718260597666e-05
RVD,2,-0.5990806802965313,-7.730092124130534e-05
RVD,3,-0.590711535153492,-7.999562994996277e-05
RVD,4,-0.5844904354602181,-8.045604321558111e-05
RVD,5,-0.5764456422719088,-8.073782836790806e-05
RVD,6,-0.57217010578548,-8.110776054680337e-05
RVD,7,-0.5650461321165925,-8.070136421660994e-05
RVD,8,-0.5605821669054336,-8.074067899747037e-05
RVD,9,-0.553153107766938,-8.051887424386227e-05
RVD,10,-0.5494892117211916,-8.074600227053215e-05
RVD,11,-0.5454723996528694,-8.091437719406276e-05
RVD,12,-0.5383102078656732,-8.016332721189569e-05
RVD,13,-0.5344591802875629,-7.987205169053759e-05
RVD,14,-0.5301529646642082,-7.889942220660678e-05
RVD,15,-0.5233113901351135,-7.874250821281588e-05
RVD,16,-0.5197157275723673,-7.8265685589999e-05
RVD,17,-0.514866913915613,-7.848421508461742e-05
RVD,18,-0.5101925649473201,-7.767862921786703e-05
RVD,19,-0.5026784931176256,-7.638779958551828e-05
RVD,20,-0.49808205874140676,-7.489710620325702e-05
RVD,21,-0.4934587467882814,-7.424490475600247e-05
RVD,22,-0.48953427907309954,-7.42686335348361e-05
RVD,23,-0.4848177415113407,-7.389753428133368e-05
RVD,24,-0.4807541369035565,-7.138789337022972e-05
RVD,25,-0.47461147477527227,-6.815220426864722e-05
RVD,26,-0.46992436398429005,-6.766767677878722e-05
RVD,27,-0.46394458504350156,-6.72850148891151e-05
RVD,28,-0.4587141861038923,-6.734151250047635e-05
RVD,29,-0.4542558717594729,-6.66130693303086e-05
RVD,30,-0.44963582382946554,-6.179744311587199e-05
RVD,31,-0.44316647434235606,-6.026505365460942e-05
RVD,32,-0.43781032515982754,-6.0312885768154904e-05
RVD,33,-0.4312373212916573,-6.271025690780947e-05
RVD,34,-0.4266297353825803,-6.474991081505677e-05
RVD,35,-0.4211700696831446,-6.478690366291159e-05
RVD,36,-0.4178526873953714,-6.385892692827814e-05
RVD,37,-0.4116564031707422,-6.24838419483579e-05
RVD,38,-0.40626866078429924,-6.14484561917824e-05
RVD,39,-0.39988796357405515,-6.219937157476147e-05
RVD,40,-0.3905344258885626,-6.222189937250816e-05
RVD,41,-0.38179446405847955,-6.188927276335226e-05
RVD,42,-0.37719651213950534,-5.9957561594553835e-05
