feature,edge_idx,z_std,ale_centred
RVD,0,-0.3763725919543621,-5.220056831729528e-05
RVD,1,-0.3605126087928228,-5.157363022498155e-05
RVD,2,-0.35162727421740503,-5.140023310465237e-05
RVD,3,-0.3432719242955998,-5.151942469512295e-05
RVD,4,-0.33745676234720196,-5.1478632991003835e-05
RVD,5,-0.3334514572797836,-5.143938410222369e-05
RVD,6,-0.32879444233053196,-5.041697852271457e-05
RVD,7,-0.3263231815707179,-4.823694468024065e-05
RVD,8,-0.32307068271698847,-4.937910733217712e-05
RVD,9,-0.3207890016303265,-4.9889266108162744e-05
RVD,10,-0.3181829915571146,-4.9861960195077036e-05
RVD,11,-0.3150391896986551,-4.945008561599617e-05
RVD,12,-0.3114664405771329,-4.938792114174158e-05
RVD,13,-0.3073966796430357,-4.928058447419216e-05
RVD,14,-0.3050058913931111,-4.871732670051445e-05
RVD,15,-0.30326762964555043,-4.853251867988072e-05
RVD,16,-0.3004003156105269,-4.6382475994756154e-05
RVD,17,-0.29786722136279215,-4.631468596918975e-05
RVD,18,-0.29576987661071247,-4.5586647553590536e-05
RVD,19,-0.29313250107431965,-4.490786072858248e-05
RVD,20,-0.2908661123191709,-4.32599425442475e-05
RVD,21,-0.28620424129993305,-4.2049288950480605e-05
RVD,22,-0.28306261547690703,-4.165908412728672e-05
RVD,23,-0.28066306088873494,-4.181774470606177e-05
RVD,24,-0.2780483746426899,-4.039532995493327e-05
RVD,25,-0.2764112349983614,-4.0363215396541125e-05
RVD,26,-0.2739915449892407,-3.990476996020705e-05
RVD,27,-0.2709080269595856,-3.984171322013232e-05
RVD,28,-0.26787453329108124,-4.044859142889941e-05
RVD,29,-0.2644360272287078,-4.050812501238358e-05
RVD,30,-0.26168108797764406,-4.039482737879423e-05
RVD,31,-0.2567995673006288,-3.959792863368728e-05
RVD,32,-0.25350278128955495,-3.852340139978492e-05
RVD,33,-0.25015075168800405,-3.671946900985698e-05
RVD,34,-0.24737053965988412,-3.626040067323734e-05
RVD,35,-0.2441747730317953,-3.5433492152305106e-05
RVD,36,-0.24190483414649705,-3.5754031042494466e-05
RVD,37,-0.23886397144258706,-3.456444761423621e-05
RVD,38,-0.23528884069234632,-3.448443729740291e-05
RVD,39,-0.23103001037207874,-2.8677222653084395e-05
RVD,40,-0.2261841833782344,-3.055698716268898e-05
RVD,41,-0.22212691627776954,-3.113957807236011e-05
RVD,42,-0.21974421481994208,-3.098256102215058e-05
RVD,43,-0.21731589784613278,-3.090363086471009e-05
RVD,44,-0.21402590169892016,-3.0057042860586828e-05
RVD,45,-0.20944451114911677,-2.9839056566410396e-05
RVD,46,-0.20526017244157224,-2.9735269135510647e-05
RVD,47,-0.20235560401092864,-2.9747325339626345e-05
RVD,48,-0.1986140833145452,-2.956203387460087e-05
RVD,49,-0.19427054665972632,-2.9793716175377012e-05
RVD,50,-0.19006780605926,-2.9835010716192807e-05
RVD,51,-0.18693225379921546,-2.9833869686046978e-05
RVD,52,-0.18312993989091053,-2.953775996435722e-05
RVD,53,-0.175457002007054,-2.8806017465936404e-05
RVD,54,-0.17240756817824116,-2.8474563794359084e-05
RVD,55,-0.16800363068143656,-2.9107173936536423e-05
RVD,56,-0.16299127794725154,-2.7910882269671402e-05
RVD,57,-0.1581555553430841,-2.7852238515308138e-05
RVD,58,-0.15352923560705078,-2.7577775402206433e-05
RVD,59,-0.14658948465285923,-2.637172489287476e-05
RVD,60,-0.14319111069819113,-2.5721720022191964e-05
RVD,61,-0.13797389603204366,-2.642294261514989e-05
RVD,62,-0.13275012536697478,-2.6105528165949254e-05
RVD,63,-0.12570856309184267,-2.5737648564688277e-05
