ticker,info_set,model,in_mcs,mcs_pvalue
AAPL,M_HAR,HAR,True,0.2405
AAPL,M_HAR,LogHAR,True,1.0
AAPL,M_HAR,HARQ,True,0.2405
AAPL,M_HAR,Lasso,True,0.2101
AAPL,M_HAR,ElasticNet,False,0.0018
AAPL,M_HAR,RF,True,0.2405
AAPL,M_HAR,GB,True,0.2405
AAPL,M_HAR,NN_2_e10,True,0.1052
AAPL,M_ALL,HAR,True,0.2136
AAPL,M_ALL,HAR-X,True,0.1277
AAPL,M_ALL,LogHAR,True,1.0
AAPL,M_ALL,HARQ,True,0.1277
AAPL,M_ALL,Lasso,True,0.206
AAPL,M_ALL,ElasticNet,True,0.1136
AAPL,M_ALL,RF,True,0.2136
AAPL,M_ALL,GB,True,0.2136
AAPL,M_ALL,NN_2_e10,True,0.206
JPM,M_HAR,HAR,False,0.0253
JPM,M_HAR,LogHAR,True,1.0
JPM,M_HAR,HARQ,False,0.0253
JPM,M_HAR,Lasso,False,0.0252
JPM,M_HAR,ElasticNet,False,0.0185
JPM,M_HAR,RF,False,0.0933
JPM,M_HAR,GB,False,0.0933
JPM,M_HAR,NN_2_e10,False,0.0004
JPM,M_ALL,HAR,False,0.0035
JPM,M_ALL,HAR-X,False,0.006
JPM,M_ALL,LogHAR,True,1.0
JPM,M_ALL,HARQ,False,0.006
JPM,M_ALL,Lasso,False,0.0022
JPM,M_ALL,ElasticNet,False,0.006
JPM,M_ALL,RF,False,0.009
JPM,M_ALL,GB,False,0.0418
JPM,M_ALL,NN_2_e10,False,0.0008
AMZN,M_HAR,HAR,True,0.9594
AMZN,M_HAR,LogHAR,True,0.6972
AMZN,M_HAR,HARQ,True,1.0
AMZN,M_HAR,Lasso,True,0.3819
AMZN,M_HAR,ElasticNet,True,0.2296
AMZN,M_HAR,RF,True,0.1543
AMZN,M_HAR,GB,True,0.3819
AMZN,M_HAR,NN_2_e10,True,0.9594
AMZN,M_ALL,HAR,True,0.1973
AMZN,M_ALL,HAR-X,False,0.007
AMZN,M_ALL,LogHAR,True,1.0
AMZN,M_ALL,HARQ,False,0.0035
AMZN,M_ALL,Lasso,True,0.1973
AMZN,M_ALL,ElasticNet,True,0.1973
AMZN,M_ALL,RF,False,0.0281
AMZN,M_ALL,GB,False,0.0125
AMZN,M_ALL,NN_2_e10,True,0.3493
