horizon,ticker,info_set,model,in_mcs,mcs_pvalue,mcs_reliability
1,AAPL,M_HAR,HAR,True,0.2405,ok
1,AAPL,M_HAR,LogHAR,True,1.0,ok
1,AAPL,M_HAR,HARQ,True,0.2405,ok
1,AAPL,M_HAR,Lasso,True,0.2101,ok
1,AAPL,M_HAR,ElasticNet,False,0.0018,ok
1,AAPL,M_HAR,RF,True,0.2405,ok
1,AAPL,M_HAR,GB,True,0.2405,ok
1,AAPL,M_HAR,NN_2_e10,True,0.1052,ok
1,AAPL,M_ALL,HAR,True,0.2136,ok
1,AAPL,M_ALL,HAR-X,True,0.1277,ok
1,AAPL,M_ALL,LogHAR,True,1.0,ok
1,AAPL,M_ALL,HARQ,True,0.1277,ok
1,AAPL,M_ALL,Lasso,True,0.206,ok
1,AAPL,M_ALL,ElasticNet,True,0.1136,ok
1,AAPL,M_ALL,RF,True,0.2136,ok
1,AAPL,M_ALL,GB,True,0.2136,ok
1,AAPL,M_ALL,NN_2_e10,True,0.206,ok
1,JPM,M_HAR,HAR,False,0.0253,ok
1,JPM,M_HAR,LogHAR,True,1.0,ok
1,JPM,M_HAR,HARQ,False,0.0253,ok
1,JPM,M_HAR,Lasso,False,0.0252,ok
1,JPM,M_HAR,ElasticNet,False,0.0185,ok
1,JPM,M_HAR,RF,False,0.0933,ok
1,JPM,M_HAR,GB,False,0.0933,ok
1,JPM,M_HAR,NN_2_e10,False,0.0004,ok
1,JPM,M_ALL,HAR,False,0.0035,ok
1,JPM,M_ALL,HAR-X,False,0.006,ok
1,JPM,M_ALL,LogHAR,True,1.0,ok
1,JPM,M_ALL,HARQ,False,0.006,ok
1,JPM,M_ALL,Lasso,False,0.0022,ok
1,JPM,M_ALL,ElasticNet,False,0.006,ok
1,JPM,M_ALL,RF,False,0.009,ok
1,JPM,M_ALL,GB,False,0.0418,ok
1,JPM,M_ALL,NN_2_e10,False,0.0008,ok
1,AMZN,M_HAR,HAR,True,0.9594,ok
1,AMZN,M_HAR,LogHAR,True,0.6972,ok
1,AMZN,M_HAR,HARQ,True,1.0,ok
1,AMZN,M_HAR,Lasso,True,0.3819,ok
1,AMZN,M_HAR,ElasticNet,True,0.2296,ok
1,AMZN,M_HAR,RF,True,0.1543,ok
1,AMZN,M_HAR,GB,True,0.3819,ok
1,AMZN,M_HAR,NN_2_e10,True,0.9594,ok
1,AMZN,M_ALL,HAR,True,0.1973,ok
1,AMZN,M_ALL,HAR-X,False,0.007,ok
1,AMZN,M_ALL,LogHAR,True,1.0,ok
1,AMZN,M_ALL,HARQ,False,0.0035,ok
1,AMZN,M_ALL,Lasso,True,0.1973,ok
1,AMZN,M_ALL,ElasticNet,True,0.1973,ok
1,AMZN,M_ALL,RF,False,0.0281,ok
1,AMZN,M_ALL,GB,False,0.0125,ok
1,AMZN,M_ALL,NN_2_e10,True,0.3493,ok
5,AAPL,M_HAR,HAR,True,0.1068,corrupt
5,AAPL,M_HAR,LogHAR,True,1.0,corrupt
5,AAPL,M_HAR,HARQ,False,0.0991,corrupt
5,AAPL,M_HAR,Lasso,False,0.0,corrupt
5,AAPL,M_HAR,ElasticNet,False,0.0012,corrupt
5,AAPL,M_HAR,RF,True,0.1512,corrupt
5,AAPL,M_HAR,GB,True,0.1512,corrupt
5,AAPL,M_HAR,NN_2_e10,False,0.0033,corrupt
5,AAPL,M_ALL,HAR,True,0.2686,corrupt
5,AAPL,M_ALL,HAR-X,True,0.2633,corrupt
5,AAPL,M_ALL,LogHAR,True,1.0,corrupt
5,AAPL,M_ALL,HARQ,True,0.2686,corrupt
5,AAPL,M_ALL,Lasso,True,0.2686,corrupt
5,AAPL,M_ALL,ElasticNet,False,0.0802,corrupt
5,AAPL,M_ALL,RF,True,0.2686,corrupt
5,AAPL,M_ALL,GB,True,0.2686,corrupt
5,AAPL,M_ALL,NN_2_e10,False,0.0488,corrupt
5,JPM,M_HAR,HAR,False,0.0265,ok
5,JPM,M_HAR,LogHAR,True,1.0,ok
5,JPM,M_HAR,HARQ,False,0.0254,ok
