ticker,info_set,model,in_mcs,mcs_pvalue
AAPL,M_HAR,HAR,True,0.1068
AAPL,M_HAR,LogHAR,True,1.0
AAPL,M_HAR,HARQ,False,0.0991
AAPL,M_HAR,Lasso,False,0.0
AAPL,M_HAR,ElasticNet,False,0.0012
AAPL,M_HAR,RF,True,0.1512
AAPL,M_HAR,GB,True,0.1512
AAPL,M_HAR,NN_2_e10,False,0.0033
AAPL,M_ALL,HAR,True,0.2686
AAPL,M_ALL,HAR-X,True,0.2633
AAPL,M_ALL,LogHAR,True,1.0
AAPL,M_ALL,HARQ,True,0.2686
AAPL,M_ALL,Lasso,True,0.2686
AAPL,M_ALL,ElasticNet,False,0.0802
AAPL,M_ALL,RF,True,0.2686
AAPL,M_ALL,GB,True,0.2686
AAPL,M_ALL,NN_2_e10,False,0.0488
JPM,M_HAR,HAR,False,0.0265
JPM,M_HAR,LogHAR,True,1.0
JPM,M_HAR,HARQ,False,0.0254
JPM,M_HAR,Lasso,False,0.0147
JPM,M_HAR,ElasticNet,False,0.0001
JPM,M_HAR,RF,False,0.0254
JPM,M_HAR,GB,False,0.058
JPM,M_HAR,NN_2_e10,False,0.0001
JPM,M_ALL,HAR,False,0.0154
JPM,M_ALL,HAR-X,False,0.0053
JPM,M_ALL,LogHAR,True,1.0
JPM,M_ALL,HARQ,False,0.0053
JPM,M_ALL,Lasso,False,0.0053
JPM,M_ALL,ElasticNet,False,0.0053
JPM,M_ALL,RF,False,0.0101
JPM,M_ALL,GB,True,0.3068
JPM,M_ALL,NN_2_e10,False,0.0057
AMZN,M_HAR,HAR,True,1.0
AMZN,M_HAR,LogHAR,True,0.2068
AMZN,M_HAR,HARQ,False,0.0701
AMZN,M_HAR,Lasso,False,0.0701
AMZN,M_HAR,ElasticNet,False,0.0007
AMZN,M_HAR,RF,False,0.0
AMZN,M_HAR,GB,False,0.0002
AMZN,M_HAR,NN_2_e10,True,0.2106
AMZN,M_ALL,HAR,True,0.4392
AMZN,M_ALL,HAR-X,False,0.0213
AMZN,M_ALL,LogHAR,True,1.0
AMZN,M_ALL,HARQ,False,0.0081
AMZN,M_ALL,Lasso,True,0.4392
AMZN,M_ALL,ElasticNet,True,0.1806
AMZN,M_ALL,RF,False,0.0046
AMZN,M_ALL,GB,False,0.0146
AMZN,M_ALL,NN_2_e10,True,0.4392
