stock,decile,rv_lo,rv_hi,model,n_days,mse,rel_mse_to_HAR
AAPL,1,2.197816226966015e-05,4.9812711001008466e-05,HAR-X,45,2.186526762592293e-09,0.5360642552943875
AAPL,1,2.197816226966015e-05,4.9812711001008466e-05,LogHAR,45,2.2248282822724197e-09,0.545454524819206
AAPL,1,2.197816226966015e-05,4.9812711001008466e-05,ElasticNet,45,2.74557820453962e-09,0.6731252325601975
AAPL,1,2.197816226966015e-05,4.9812711001008466e-05,RF,45,2.573362058766372e-09,0.6309035129302238
AAPL,1,2.197816226966015e-05,4.9812711001008466e-05,NN_2_e10,45,5.594146170875282e-09,1.3715001583346171
AAPL,2,4.987658187531834e-05,5.9838574351297315e-05,HAR-X,44,3.2194352385370584e-09,0.9311074536107594
AAPL,2,4.987658187531834e-05,5.9838574351297315e-05,LogHAR,44,2.2929384634032997e-09,0.6631511230260886
AAPL,2,4.987658187531834e-05,5.9838574351297315e-05,ElasticNet,44,3.5613745205244904e-09,1.0300012627887583
AAPL,2,4.987658187531834e-05,5.9838574351297315e-05,RF,44,2.4293905228653026e-09,0.702615041450285
AAPL,2,4.987658187531834e-05,5.9838574351297315e-05,NN_2_e10,44,5.201817823623953e-09,1.5044413038426176
AAPL,3,6.003474979724604e-05,7.179713200096925e-05,HAR-X,45,2.618631179072256e-09,0.8958305080261999
AAPL,3,6.003474979724604e-05,7.179713200096925e-05,LogHAR,45,1.8093256860706752e-09,0.6189680935181523
AAPL,3,6.003474979724604e-05,7.179713200096925e-05,ElasticNet,45,2.331965759640906e-09,0.797762620354553
AAPL,3,6.003474979724604e-05,7.179713200096925e-05,RF,45,2.0661008646017024e-09,0.7068105665133236
AAPL,3,6.003474979724604e-05,7.179713200096925e-05,NN_2_e10,45,3.992118444997201e-09,1.3656988136640245
AAPL,4,7.207534256406592e-05,8.204672339974898e-05,HAR-X,44,4.11196971195718e-09,1.7317606772400354
AAPL,4,7.207534256406592e-05,8.204672339974898e-05,LogHAR,44,1.968027085583909e-09,0.8288368245142886
AAPL,4,7.207534256406592e-05,8.204672339974898e-05,ElasticNet,44,3.8717939962646115e-09,1.6306104039646996
AAPL,4,7.207534256406592e-05,8.204672339974898e-05,RF,44,2.0563737081867297e-09,0.8660441041656043
AAPL,4,7.207534256406592e-05,8.204672339974898e-05,NN_2_e10,44,4.004726477280518e-09,1.6865950681225814
AAPL,5,8.251320251178473e-05,9.18642434917899e-05,HAR-X,45,4.36455235295973e-09,1.341837971469242
AAPL,5,8.251320251178473e-05,9.18642434917899e-05,LogHAR,45,2.3914827777637673e-09,0.7352374630452211
AAPL,5,8.251320251178473e-05,9.18642434917899e-05,ElasticNet,45,4.058847204405334e-09,1.2478519808725752
AAPL,5,8.251320251178473e-05,9.18642434917899e-05,RF,45,2.6372539149796993e-09,0.8107973412498846
AAPL,5,8.251320251178473e-05,9.18642434917899e-05,NN_2_e10,45,3.84134837417737e-09,1.1809841407028694
AAPL,6,9.18708538389399e-05,0.0001075909146345,HAR-X,44,3.329071221655202e-09,1.0086095048712083
AAPL,6,9.18708538389399e-05,0.0001075909146345,LogHAR,44,2.1632404148506463e-09,0.6553974662804246
AAPL,6,9.18708538389399e-05,0.0001075909146345,ElasticNet,44,3.30957574792237e-09,1.0027029565279364
AAPL,6,9.18708538389399e-05,0.0001075909146345,RF,44,3.3628598558068543e-09,1.0188464554477803
AAPL,6,9.18708538389399e-05,0.0001075909146345,NN_2_e10,44,2.8469740959639556e-09,0.8625484233057858
AAPL,7,0.0001084258111394,0.0001280564503721,HAR-X,44,3.7252527539112977e-09,1.908925778662532
AAPL,7,0.0001084258111394,0.0001280564503721,LogHAR,44,1.9024071576445184e-09,0.9748476961534535
AAPL,7,0.0001084258111394,0.0001280564503721,ElasticNet,44,3.741164079633659e-09,1.9170791958534115
AAPL,7,0.0001084258111394,0.0001280564503721,RF,44,2.4405684457557254e-09,1.2506168919147616
AAPL,7,0.0001084258111394,0.0001280564503721,NN_2_e10,44,1.8273616783531066e-09,0.9363922517970804
AAPL,8,0.0001282646911938,0.0001588570727725,HAR-X,45,6.699660377271875e-09,1.7220987410582573
AAPL,8,0.0001282646911938,0.0001588570727725,LogHAR,45,3.319316491477838e-09,0.8532060476587247
AAPL,8,0.0001282646911938,0.0001588570727725,ElasticNet,45,6.594652183034582e-09,1.6951071520949854
AAPL,8,0.0001282646911938,0.0001588570727725,RF,45,4.981862038268258e-09,1.2805512311239269
AAPL,8,0.0001282646911938,0.0001588570727725,NN_2_e10,45,1.8532009474325644e-09,0.47635176095316284
AAPL,9,0.0001589981865971,0.0002293640110827,HAR-X,44,1.0860962498388422e-08,1.2013871942180578
AAPL,9,0.0001589981865971,0.0002293640110827,LogHAR,44,5.584472823851874e-09,0.6177274010503132
AAPL,9,0.0001589981865971,0.0002293640110827,ElasticNet,44,1.088661960210735e-08,1.2042252590629754
AAPL,9,0.0001589981865971,0.0002293640110827,RF,44,7.547043078747095e-09,0.8348174400164035
AAPL,9,0.0001589981865971,0.0002293640110827,NN_2_e10,44,3.765497761365569e-09,0.4165211684537733
AAPL,10,0.0002355910511945,0.0032156258892109,HAR-X,45,2.2394716289813068e-07,0.961140152118006
AAPL,10,0.0002355910511945,0.0032156258892109,LogHAR,45,2.1625604007580086e-07,0.9281312634866508
AAPL,10,0.0002355910511945,0.0032156258892109,ElasticNet,45,2.2479680931147278e-07,0.9647866787022146
AAPL,10,0.0002355910511945,0.0032156258892109,RF,45,2.330642079136081e-07,1.000268837293753
AAPL,10,0.0002355910511945,0.0032156258892109,NN_2_e10,45,2.2644798006554256e-07,0.9718732007603723
JPM,1,1.6874338193821426e-05,4.57358057651316e-05,HAR-X,45,5.757610725568334e-10,0.18804370180641639
JPM,1,1.6874338193821426e-05,4.57358057651316e-05,LogHAR,45,1.513436317253591e-09,0.49428865741273814
JPM,1,1.6874338193821426e-05,4.57358057651316e-05,ElasticNet,45,1.1107660954144305e-09,0.3627764681888438
JPM,1,1.6874338193821426e-05,4.57358057651316e-05,RF,45,1.8842864296126767e-09,0.6154083913913571
JPM,1,1.6874338193821426e-05,4.57358057651316e-05,NN_2_e10,45,5.959343620245295e-09,1.9463230289448932
JPM,2,4.581945202929816e-05,5.597448288321708e-05,HAR-X,44,1.695620906071689e-09,0.556121521307343
JPM,2,4.581945202929816e-05,5.597448288321708e-05,LogHAR,44,1.7439081265969132e-09,0.5719585297105972
JPM,2,4.581945202929816e-05,5.597448288321708e-05,ElasticNet,44,1.5925334643849824e-09,0.5223114021390733
JPM,2,4.581945202929816e-05,5.597448288321708e-05,RF,44,1.9219465643148255e-09,0.6303507130579061
JPM,2,4.581945202929816e-05,5.597448288321708e-05,NN_2_e10,44,5.400288481253867e-09,1.771160425623137
JPM,3,5.609278274020518e-05,6.452058410506533e-05,HAR-X,44,2.2667930545608774e-09,1.2377832187524578
JPM,3,5.609278274020518e-05,6.452058410506533e-05,LogHAR,44,1.2833039907173044e-09,0.7007486374073322
JPM,3,5.609278274020518e-05,6.452058410506533e-05,ElasticNet,44,2.8153536285854203e-09,1.5373249310541703
JPM,3,5.609278274020518e-05,6.452058410506533e-05,RF,44,1.5131309917672652e-09,0.8262457596715229
JPM,3,5.609278274020518e-05,6.452058410506533e-05,NN_2_e10,44,3.935918003488073e-09,2.149209538692089
JPM,4,6.496151761380515e-05,7.560637933553273e-05,HAR-X,45,2.700641945908626e-09,0.9566298197820773
JPM,4,6.496151761380515e-05,7.560637933553273e-05,LogHAR,45,1.4233127024374347e-09,0.5041702681427331
JPM,4,6.496151761380515e-05,7.560637933553273e-05,ElasticNet,45,2.58064477369784e-09,0.9141240468860183
JPM,4,6.496151761380515e-05,7.560637933553273e-05,RF,45,1.6440394266218754e-09,0.582356777353086
JPM,4,6.496151761380515e-05,7.560637933553273e-05,NN_2_e10,45,3.335395784163273e-09,1.1814743056701262
JPM,5,7.575247248909389e-05,8.771312070889251e-05,HAR-X,44,2.508672625388996e-09,1.517973876024337
JPM,5,7.575247248909389e-05,8.771312070889251e-05,LogHAR,44,1.0272038055888563e-09,0.6215512245225241
JPM,5,7.575247248909389e-05,8.771312070889251e-05,ElasticNet,44,2.810085184446223e-09,1.7003557404111131
JPM,5,7.575247248909389e-05,8.771312070889251e-05,RF,44,1.252849527249955e-09,0.7580872983217488
JPM,5,7.575247248909389e-05,8.771312070889251e-05,NN_2_e10,44,2.2503872199024023e-09,1.3616878408840576
JPM,6,8.775069350214829e-05,9.835080633654483e-05,HAR-X,44,2.1551350984615596e-09,1.5908722793211183
JPM,6,8.775069350214829e-05,9.835080633654483e-05,LogHAR,44,5.800673595734724e-10,0.42819268413529227
JPM,6,8.775069350214829e-05,9.835080633654483e-05,ElasticNet,44,2.3528367027701465e-09,1.7368111590212176
JPM,6,8.775069350214829e-05,9.835080633654483e-05,RF,44,5.732897749738108e-10,0.42318962355312634
JPM,6,8.775069350214829e-05,9.835080633654483e-05,NN_2_e10,44,1.4111424632568245e-09,1.0416736419775978
JPM,7,9.850450580389064e-05,0.0001144669765569,HAR-X,45,5.29290370188669e-09,1.724381108777231
JPM,7,9.850450580389064e-05,0.0001144669765569,LogHAR,45,1.417149407874109e-09,0.4616947152055454
JPM,7,9.850450580389064e-05,0.0001144669765569,ElasticNet,45,4.940076418400244e-09,1.609433107344984
JPM,7,9.850450580389064e-05,0.0001144669765569,RF,45,1.3036101035029093e-09,0.4247046162752331
JPM,7,9.850450580389064e-05,0.0001144669765569,NN_2_e10,45,1.3202670973144342e-09,0.43013131720829073
JPM,8,0.0001174916594533,0.0001374011614251,HAR-X,44,4.62477875173042e-09,1.911063251928195
JPM,8,0.0001174916594533,0.0001374011614251,LogHAR,44,1.2873542671898368e-09,0.531963919640248
JPM,8,0.0001174916594533,0.0001374011614251,ElasticNet,44,4.785803024602801e-09,1.9776021259099448
JPM,8,0.0001174916594533,0.0001374011614251,RF,44,1.4282926423294643e-09,0.5902028460786283
JPM,8,0.0001174916594533,0.0001374011614251,NN_2_e10,44,7.210967311615721e-10,0.2979734897572789
JPM,9,0.000138454694251,0.0001886533536708,HAR-X,44,8.88486388637473e-09,1.7853620692484315
JPM,9,0.000138454694251,0.0001886533536708,LogHAR,44,3.130698323199259e-09,0.6290957416996814
JPM,9,0.000138454694251,0.0001886533536708,ElasticNet,44,9.067461101199585e-09,1.822053924685704
JPM,9,0.000138454694251,0.0001886533536708,RF,44,2.8741925282245688e-09,0.5775523840583202
JPM,9,0.000138454694251,0.0001886533536708,NN_2_e10,44,1.3262314886176318e-09,0.26649855587004745
JPM,10,0.000192300531968,0.0011233008201871,HAR-X,45,4.898619243616589e-08,0.8382856596286654
JPM,10,0.000192300531968,0.0011233008201871,LogHAR,45,4.177634808476946e-08,0.714905808544991
JPM,10,0.000192300531968,0.0011233008201871,ElasticNet,45,4.7978490007662325e-08,0.8210411575970306
JPM,10,0.000192300531968,0.0011233008201871,RF,45,5.160168145360974e-08,0.8830437195472137
JPM,10,0.000192300531968,0.0011233008201871,NN_2_e10,45,4.4086727672402354e-08,0.7544426245393193
AMZN,1,2.0940261010982273e-05,9.106416171633552e-05,HAR-X,45,6.129598443187472e-09,0.6109548257854468
AMZN,1,2.0940261010982273e-05,9.106416171633552e-05,LogHAR,45,7.354859471495994e-09,0.7330801403603212
AMZN,1,2.0940261010982273e-05,9.106416171633552e-05,ElasticNet,45,1.0099660908804893e-08,1.0066624475032124
AMZN,1,2.0940261010982273e-05,9.106416171633552e-05,RF,45,8.522586990186065e-09,0.849470923436671
AMZN,1,2.0940261010982273e-05,9.106416171633552e-05,NN_2_e10,45,8.067301092606463e-09,0.804091259692553
AMZN,2,9.257314259102168e-05,0.0001128131688112,HAR-X,44,5.044240757031466e-09,0.6601363940095036
