ticker,info_set,model,n_test,test_mse,rel_mse_to_HAR
AAPL,M_HAR,HAR,424,7.57059848855838e-09,1.0
AAPL,M_HAR,LogHAR,424,4.881913964518013e-09,0.644851787067583
AAPL,M_HAR,HARQ,424,6.948321624898715e-09,0.9178034782058345
AAPL,M_HAR,Lasso,424,9.327294425759881e-09,1.2320418841200516
AAPL,M_HAR,ElasticNet,424,8.976586534585785e-09,1.1857168951902954
AAPL,M_HAR,RF,424,1.637600813858333e-08,2.163106148520856
AAPL,M_HAR,GB,424,1.4614680917534783e-08,1.9304525183342225
AAPL,M_HAR,NN_2_e10,424,6.385591508921229e-09,0.8434724835258296
AAPL,M_ALL,HAR,424,7.57059848855838e-09,1.0
AAPL,M_ALL,HAR-X,424,7.930690015245091e-09,1.0475644729054019
AAPL,M_ALL,LogHAR,424,5.379637178823778e-09,0.7105960231485196
AAPL,M_ALL,HARQ,424,7.477915912500096e-09,0.9877575628666139
AAPL,M_ALL,Lasso,424,8.681095529810596e-09,1.1466855022004583
AAPL,M_ALL,ElasticNet,424,8.285889767186395e-09,1.0944827915136501
AAPL,M_ALL,RF,424,1.027578918778673e-08,1.3573285128404007
AAPL,M_ALL,GB,424,3.0261325604487064e-08,3.997217082668128
AAPL,M_ALL,NN_2_e10,424,7.462752848357522e-09,0.9857546744337522
JPM,M_HAR,HAR,423,4.677051195171659e-09,1.0
JPM,M_HAR,LogHAR,423,2.5452302846046604e-09,0.544195515163961
JPM,M_HAR,HARQ,423,5.754694844599951e-09,1.2304109158652774
JPM,M_HAR,Lasso,423,7.129759570538823e-09,1.524413412001821
JPM,M_HAR,ElasticNet,423,6.099910020347909e-09,1.3042213492649244
JPM,M_HAR,RF,423,9.82266675113134e-09,2.1001837143180606
JPM,M_HAR,GB,423,1.4901425431265798e-08,3.1860727645336113
JPM,M_HAR,NN_2_e10,423,6.584637914811294e-09,1.4078609876259054
JPM,M_ALL,HAR,423,4.677051195171659e-09,1.0
JPM,M_ALL,HAR-X,423,7.883511984694965e-09,1.6855731647396732
JPM,M_ALL,LogHAR,423,2.460334538913799e-09,0.5260439615144086
JPM,M_ALL,HARQ,423,8.107501851648513e-09,1.7334644230574747
JPM,M_ALL,Lasso,423,8.40934883693283e-09,1.7980023065845843
JPM,M_ALL,ElasticNet,423,8.026745144822948e-09,1.7161978370280266
JPM,M_ALL,RF,423,1.7757143536737188e-08,3.796653659696675
JPM,M_ALL,GB,423,5.559269910023263e-08,11.886271238087708
JPM,M_ALL,NN_2_e10,423,7.038966017414201e-09,1.5050008485433852
AMZN,M_HAR,HAR,424,5.118813213205372e-09,1.0
AMZN,M_HAR,LogHAR,424,6.667175067873378e-09,1.3024845389305444
AMZN,M_HAR,HARQ,424,5.700799297630205e-09,1.1136955110851556
AMZN,M_HAR,Lasso,424,6.452294010925059e-09,1.2605058520751666
AMZN,M_HAR,ElasticNet,424,6.229114162711133e-09,1.2169059317580562
AMZN,M_HAR,RF,424,1.4808567847560668e-08,2.8929689814345902
AMZN,M_HAR,GB,424,1.2961490196978263e-08,2.5321279869209863
AMZN,M_HAR,NN_2_e10,424,6.315151012759505e-09,1.2337139000242974
AMZN,M_ALL,HAR,424,5.118813213205372e-09,1.0
AMZN,M_ALL,HAR-X,424,5.938413083805929e-09,1.16011521351984
AMZN,M_ALL,LogHAR,424,5.909552510615818e-09,1.1544770759305143
AMZN,M_ALL,HARQ,424,6.251985045421332e-09,1.2213739366954501
AMZN,M_ALL,Lasso,424,5.872257595648192e-09,1.1471912240319895
AMZN,M_ALL,ElasticNet,424,5.9863624134152064e-09,1.1694824882399997
AMZN,M_ALL,RF,424,1.3413105586881787e-08,2.620354568179794
AMZN,M_ALL,GB,424,1.744595821761568e-08,3.4082037165585732
AMZN,M_ALL,NN_2_e10,424,5.141743127314276e-09,1.0044795371805617
